,Author_A,Author_B,count,aa,ra,jc,pa,dc_A,dc_B,sh_path,label
0,0,1236,10,2.508376242,0.551129426,0.461538462,88,0.002317497,0.003186559,1,1
1,0,1655,7,3.049435731,0.707972583,0.5,104,0.002317497,0.003765933,1,1
2,0,1797,3,2.984187363,0.673784549,0.7,72,0.002317497,0.002607184,1,1
3,0,2414,1,2.027477895,0.426129426,0.5,56,0.002317497,0.00202781,1,1
4,0,2568,6,3.060383794,0.713467088,0.466666667,112,0.002317497,0.00405562,1,1
5,0,356,9,2.444510287,0.517038517,0.6,64,0.002317497,0.002317497,1,1
6,0,3649,7,3.070037603,0.718228993,0.4375,120,0.002317497,0.004345307,1,1
7,0,3760,3,3.005012494,0.68489566,0.636363636,80,0.002317497,0.002896871,1,1
8,1,1242,1,4.933103293,0.729250109,0.294117647,800,0.004634994,0.014484357,1,1
9,1,1309,1,4.835769387,0.69042658,0.833333333,272,0.004634994,0.004924681,1,1
10,1,141,1,4.828051751,0.686750109,0.882352941,256,0.004634994,0.004634994,1,1
11,1,19,1,4.888623883,0.713535824,0.517241379,448,0.004634994,0.00811124,1,1
12,1,1917,1,4.888623883,0.713535824,0.517241379,448,0.004634994,0.00811124,1,1
13,1,2214,1,4.849102239,0.69661853,0.75,304,0.004634994,0.005504056,1,1
14,1,337,1,4.860266772,0.701631062,0.681818182,336,0.004634994,0.00608343,1,1
15,1,3393,1,4.911787618,0.722223082,0.394736842,592,0.004634994,0.010718424,1,1
16,1,340,1,4.828051751,0.686750109,0.882352941,256,0.004634994,0.004634994,1,1
17,1,3417,1,4.828051751,0.686750109,0.882352941,256,0.004634994,0.004634994,1,1
18,1,3552,1,4.835769387,0.69042658,0.833333333,272,0.004634994,0.004924681,1,1
19,1,3630,1,4.909670198,0.721472331,0.405405405,576,0.004634994,0.010428737,1,1
20,1,3675,1,4.860266772,0.701631062,0.681818182,336,0.004634994,0.00608343,1,1
21,1,3828,1,4.828051751,0.686750109,0.882352941,256,0.004634994,0.004634994,1,1
22,1,3951,1,4.917640481,0.724250109,0.365853659,640,0.004634994,0.011587486,1,1
23,1,750,1,4.828051751,0.686750109,0.882352941,256,0.004634994,0.004634994,1,1
24,10,2902,1,0,0,0,1,0.000289687,0.000289687,1,1
25,100,3313,1,0,0,0,12,0.001158749,0.000869061,1,1
26,100,348,5,1.442695041,0.5,0.043478261,80,0.001158749,0.005793743,1,1
27,100,400,1,0,0,0,152,0.001158749,0.011008111,1,1
28,100,890,1,0.333808201,0.05,0.2,8,0.001158749,0.000579374,1,1
29,1000,2128,1,0.910239227,0.333333333,0.25,6,0.000579374,0.000869061,1,1
30,1001,2186,1,2.850336255,0.735171261,0.181818182,224,0.00202781,0.009269988,1,1
31,1001,2727,1,2.62497692,0.623564119,0.75,49,0.00202781,0.00202781,1,1
32,1001,2995,1,2.62497692,0.623564119,0.75,49,0.00202781,0.00202781,1,1
33,1001,3228,1,2.68375565,0.65531015,0.6,63,0.00202781,0.002607184,1,1
34,1001,3593,1,2.62497692,0.623564119,0.75,49,0.00202781,0.00202781,1,1
35,1001,3605,1,2.799251991,0.713789683,0.3,133,0.00202781,0.005504056,1,1
36,1001,3809,1,2.62497692,0.623564119,0.75,49,0.00202781,0.00202781,1,1
37,1002,1042,2,0.621334935,0.2,0.045454545,42,0.000579374,0.00608343,1,1
38,1003,1139,1,0.910239227,0.333333333,0.013333333,483,0.00202781,0.019988413,1,1
39,1003,1429,1,0.708892645,0.119298246,0.076923077,147,0.00202781,0.00608343,1,1
40,1003,2310,1,0.697728112,0.114285714,0.083333333,133,0.00202781,0.005504056,1,1
41,1003,2973,1,0.236177337,0.014492754,0.111111111,21,0.00202781,0.000869061,1,1
42,1003,3150,3,0,0,0,7,0.00202781,0.000289687,1,1
43,1003,3638,5,0.668082011,0.100250627,0.1,105,0.00202781,0.004345307,1,1
44,1004,1934,5,0,0,0,16,0.000289687,0.004634994,1,1
45,1005,1096,3,7.932097283,0.975558985,0.710526316,1036,0.00811124,0.010718424,1,1
