,Author_A,Author_B,count,aa,ra,jc,pa,path_len,bet_cA,bet_cB,dc_A,dc_B
0,0,1236,14,2.471649445,0.531746032,0.428571429,96,1,4.00E-06,0.000762758,0.00212427,0.003186405
1,0,1655,9,2.976054215,0.668650794,0.466666667,112,1,4.00E-06,0.000794561,0.00212427,0.003717472
2,0,1797,4,2.899857783,0.628968254,0.7,72,1,4.00E-06,9.62E-06,0.00212427,0.002389804
3,0,2414,1,2.471649445,0.531746032,0.6,64,1,4.00E-06,4.70E-08,0.00212427,0.00212427
4,0,2568,8,2.976054215,0.668650794,0.466666667,112,1,4.00E-06,0.000439145,0.00212427,0.003717472
5,0,356,14,2.899857783,0.628968254,0.7,72,1,4.00E-06,0.00010403,0.00212427,0.002389804
6,0,3649,9,2.985708023,0.673412698,0.4375,120,1,4.00E-06,0.000845127,0.00212427,0.003983006
7,0,3760,4,2.920682914,0.640079365,0.636363636,80,1,4.00E-06,0.000177497,0.00212427,0.002655337
8,1,1242,1,4.872716022,0.707646684,0.25,944,1,0,0.005568671,0.00424854,0.01566649
9,1,1309,1,4.76500596,0.665772307,0.833333333,272,1,0,0.000124262,0.00424854,0.004514073
10,1,141,1,4.757288324,0.662095836,0.882352941,256,1,0,0,0.00424854,0.00424854
11,1,19,1,4.831962417,0.694292806,0.441176471,528,1,0,0.000719012,0.00424854,0.008762613
12,1,1917,1,4.817860456,0.688881551,0.517241379,448,1,0,0.000415352,0.00424854,0.007434944
13,1,2214,1,4.778338812,0.671964257,0.75,304,1,0,0.000108541,0.00424854,0.005045141
14,1,337,1,4.789503345,0.676976789,0.681818182,336,1,0,0.000647487,0.00424854,0.005576208
15,1,3393,1,4.843054507,0.698280047,0.384615385,608,1,0,0.00129055,0.00424854,0.010090281
16,1,340,1,4.757288324,0.662095836,0.882352941,256,1,0,0,0.00424854,0.00424854
17,1,3417,1,4.757288324,0.662095836,0.882352941,256,1,0,0,0.00424854,0.00424854
18,1,3552,1,4.76500596,0.665772307,0.833333333,272,1,0,2.57E-05,0.00424854,0.004514073
19,1,3630,1,4.852089499,0.701340022,0.340909091,688,1,0,0.002289391,0.00424854,0.01141795
20,1,3675,1,4.799033095,0.681117576,0.625,368,1,0,0.000194748,0.00424854,0.006107276
21,1,3828,1,4.757288324,0.662095836,0.882352941,256,1,0,0,0.00424854,0.00424854
22,1,3951,1,4.86841957,0.706414018,0.267857143,880,1,0,0.010170475,0.00424854,0.014604355
23,1,750,1,4.757288324,0.662095836,0.882352941,256,1,0,0,0.00424854,0.00424854
24,10,1977,1,0.621334935,0.2,0.111111111,25,1,0.000479175,0.000191521,0.001327669,0.001327669
25,10,2425,1,0.455119613,0.111111111,0.1,30,1,0.000479175,0.000174486,0.001327669,0.001593202
26,10,2459,1,1.076454548,0.311111111,0.25,25,1,0.000479175,0.00137341,0.001327669,0.001327669
27,10,2902,1,0,0,0,5,1,0.000479175,0,0.001327669,0.000265534
28,10,986,1,1.179445561,0.366666667,0.166666667,45,1,0.000479175,0.000481043,0.001327669,0.002389804
29,100,3232,1,0.558110627,0.166666667,0.058823529,65,1,0.00017783,0.001962616,0.001327669,0.003451938
30,100,3313,2,0.389871245,0.076923077,0.1,30,1,0.00017783,0.000467241,0.001327669,0.001593202
31,100,348,5,1.442695041,0.5,0.04,105,1,0.00017783,0.00919076,0.001327669,0.005576208
32,100,400,1,0,0,0,275,1,0.00017783,0.005756552,0.001327669,0.014604355
33,100,890,1,0.328458739,0.047619048,0.166666667,10,1,0.00017783,0,0.001327669,0.000531067
34,1000,2128,2,2.352934268,0.833333333,0.4,12,1,7.05E-08,0.000712886,0.000796601,0.001062135
35,1000,3908,1,0.72134752,0.25,0.25,6,1,7.05E-08,0,0.000796601,0.000531067
36,1001,2186,1,2.740171735,0.676587302,0.162162162,280,1,1.75E-05,0.007200696,0.00212427,0.00929368
37,1001,2727,1,2.540539802,0.58015873,0.6,64,1,1.75E-05,1.69E-07,0.00212427,0.00212427
38,1001,2995,1,2.540539802,0.58015873,0.6,64,1,1.75E-05,6.56E-06,0.00212427,0.00212427
39,1001,3228,1,2.566318536,0.594047619,0.545454545,72,1,1.75E-05,1.27E-05,0.00212427,0.002389804
40,1001,3593,1,2.540539802,0.58015873,0.6,64,1,1.75E-05,1.69E-07,0.00212427,0.00212427
41,1001,3605,1,2.692979411,0.657539683,0.260869565,168,1,1.75E-05,0.0019556,0.00212427,0.005576208
42,1001,3809,1,2.507539807,0.562301587,0.666666667,56,1,1.75E-05,0,0.00212427,0.001858736
43,1002,1042,2,0.621334935,0.2,0.043478261,44,1,0,0.003637978,0.000531067,0.005841742
44,1003,1139,1,0.910239227,0.333333333,0.0125,584,1,0.001263575,0.017086758,0.00212427,0.019383962
45,1003,1429,1,0.708892645,0.119298246,0.064516129,200,1,0.001263575,0.002160778,0.00212427,0.006638343
46,1003,2310,1,0.67993684,0.106666667,0.08,152,1,0.001263575,0.000341949,0.00212427,0.005045141
47,1003,2852,1,0,0,0,152,1,0.001263575,0.001905254,0.00212427,0.005045141
48,1003,2973,1,0.233075272,0.01369863,0.1,24,1,0.001263575,0.000107059,0.00212427,0.000796601
49,1003,3150,4,0,0,0,8,1,0.001263575,0,0.00212427,0.000265534
50,1003,3638,7,0.650290739,0.092631579,0.095238095,120,1,0.001263575,0.003701042,0.00212427,0.003983006
51,1004,1934,7,0,0,0,18,1,0,0.00235001,0.000265534,0.004779607
52,1005,1096,3,7.825152309,0.941719092,0.529411765,1400,1,0.000155448,0.005118615,0.007434944,0.013276686
53,1005,1183,1,6.810068708,0.657296487,0.324675325,2072,1,0.000155448,0.007378048,0.007434944,0.019649495
