,Author_A,Author_B,count,aa,ra,jc,pa,path_len,dc_A,dc_B,cc_A,cc_B,hits_A,hits_B,bet_cA,bet_cB
0,0,1236,14,2.471649445,0.531746032,0.428571429,96,1,0.00212427,0.003186405,0.187879303,0.223133574,3.17E-06,5.71E-05,4.00E-06,0.000762758
1,0,1655,9,2.976054215,0.668650794,0.466666667,112,1,0.00212427,0.003717472,0.187879303,0.209682644,3.17E-06,1.07E-05,4.00E-06,0.000794561
2,0,1797,4,2.899857783,0.628968254,0.7,72,1,0.00212427,0.002389804,0.187879303,0.187890995,3.17E-06,3.20E-06,4.00E-06,9.62E-06
3,0,2414,1,2.471649445,0.531746032,0.6,64,1,0.00212427,0.00212427,0.187879303,0.181356343,3.17E-06,2.09E-06,4.00E-06,4.70E-08
4,0,2568,8,2.976054215,0.668650794,0.466666667,112,1,0.00212427,0.003717472,0.187879303,0.208769215,3.17E-06,1.83E-05,4.00E-06,0.000439145
5,0,356,14,2.899857783,0.628968254,0.7,72,1,0.00212427,0.002389804,0.187879303,0.201914023,3.17E-06,9.48E-06,4.00E-06,0.00010403
6,0,3649,9,2.985708023,0.673412698,0.4375,120,1,0.00212427,0.003983006,0.187879303,0.216820136,3.17E-06,4.88E-05,4.00E-06,0.000845127
7,0,3760,4,2.920682914,0.640079365,0.636363636,80,1,0.00212427,0.002655337,0.187879303,0.201927528,3.17E-06,9.52E-06,4.00E-06,0.000177497
8,1,1242,1,4.872716022,0.707646684,0.25,944,1,0.00424854,0.01566649,0.229441477,0.273430574,0.000122487,0.001195898,0,0.005568671
9,1,1309,1,4.76500596,0.665772307,0.833333333,272,1,0.00424854,0.004514073,0.229441477,0.24207989,0.000122487,0.000240298,0,0.000124262
10,1,141,1,4.757288324,0.662095836,0.882352941,256,1,0.00424854,0.00424854,0.229441477,0.229441477,0.000122487,0.000122487,0,0
11,1,19,1,4.831962417,0.694292806,0.441176471,528,1,0.00424854,0.008762613,0.229441477,0.255066351,0.000122487,0.000523564,0,0.000719012
12,1,1917,1,4.817860456,0.688881551,0.517241379,448,1,0.00424854,0.007434944,0.229441477,0.244728896,0.000122487,0.000275801,0,0.000415352
13,1,2214,1,4.778338812,0.671964257,0.75,304,1,0.00424854,0.005045141,0.229441477,0.239430642,0.000122487,0.000200043,0,0.000108541
14,1,337,1,4.789503345,0.676976789,0.681818182,336,1,0.00424854,0.005576208,0.229441477,0.231482051,0.000122487,0.000142643,0,0.000647487
15,1,3393,1,4.843054507,0.698280047,0.384615385,608,1,0.00424854,0.010090281,0.229441477,0.257173798,0.000122487,0.000523007,0,0.00129055
16,1,340,1,4.757288324,0.662095836,0.882352941,256,1,0.00424854,0.00424854,0.229441477,0.229441477,0.000122487,0.000122487,0,0
17,1,3417,1,4.757288324,0.662095836,0.882352941,256,1,0.00424854,0.00424854,0.229441477,0.229441477,0.000122487,0.000122487,0,0
